drug,gene,mean_abs_shap,mean_shap,direction,direction_corrected,ridge_coef
AZD5991,BCL2L1,0.03391402,-7.3863515e-10,sensitivity,resistance,0.09036531095768274
AZD5991,RERG,0.02871012,-3.297096e-09,sensitivity,sensitivity,-0.04502326316891418
AZD5991,CYTL1,0.027585333,5.24538e-10,resistance,resistance,0.03627978831840562
AZD5991,SAA2,0.02523266,1.049076e-09,resistance,sensitivity,-0.033854181224001155
AZD5991,ITGA11,0.024621172,-7.2793027e-10,sensitivity,sensitivity,-0.03353058762090513
AZD5991,GBP5,0.02418347,-1.4558605e-09,sensitivity,resistance,0.045351139872012405
AZD5991,AGA,0.022556536,-2.5691657e-10,sensitivity,resistance,0.0482268578638943
AZD5991,MFAP5,0.021738319,1.8412354e-09,resistance,resistance,0.026137880051300334
AZD5991,STEAP4,0.021735707,-2.397888e-09,sensitivity,sensitivity,-0.02517103164513012
AZD5991,MSR1,0.021623576,-2.99736e-10,sensitivity,resistance,0.041809654433851665
AZD5991,UPK1B,0.021079972,1.7127771e-09,resistance,resistance,0.02453689317614337
AZD5991,DCN,0.020822575,0.0,sensitivity,sensitivity,-0.02290440293698224
AZD5991,SAMSN1,0.020293832,-1.198944e-09,sensitivity,resistance,0.02957397960895841
AZD5991,EGLN3,0.020270618,1.4772703e-09,resistance,resistance,0.042743597163253017
AZD5991,NCF2,0.019953366,-1.9268744e-10,sensitivity,resistance,0.041958039663824595
AZD5991,FGF18,0.019893935,7.4934e-10,resistance,resistance,0.023682189639202524
AZD5991,S100A8,0.01983855,1.0276663e-09,resistance,sensitivity,-0.034501851391983133
AZD5991,ARHGAP44,0.01923045,-1.6271383e-09,sensitivity,sensitivity,-0.03188905444311392
AZD5991,FBXO2,0.019180976,-6.2088173e-10,sensitivity,resistance,0.03417028477569199
AZD5991,KLK7,0.018789787,-1.2417635e-09,sensitivity,resistance,0.023895292493685653
Schweinfurthin A,SGPP2,0.021987988,-2.5691657e-10,sensitivity,resistance,0.03334990161277727
Schweinfurthin A,TAFA5,0.021827914,-8.563886e-11,sensitivity,sensitivity,-0.04086965993872447
Schweinfurthin A,IGFL2,0.02147156,-3.211457e-11,sensitivity,resistance,0.02980138064995719
Schweinfurthin A,RGS16,0.021365572,6.208817e-09,resistance,sensitivity,-0.037426447433134453
Schweinfurthin A,ANGPTL2,0.020963028,7.7074974e-10,resistance,sensitivity,-0.03724181148469669
Schweinfurthin A,EID3,0.020898487,2.8260823e-09,resistance,resistance,0.03438447573274767
Schweinfurthin A,SUSD2,0.020841423,8.3497886e-10,resistance,sensitivity,-0.030497839268754892
Schweinfurthin A,GPR183,0.020735312,7.4934e-11,resistance,resistance,0.03061704214075336
Schweinfurthin A,ATL1,0.020566108,0.0,sensitivity,resistance,0.03969376027110553
Schweinfurthin A,CHI3L1,0.019134928,-7.4934e-10,sensitivity,sensitivity,-0.02543137759063312
Schweinfurthin A,NPR3,0.019044358,-5.8876716e-11,sensitivity,resistance,0.03046707518422711
Schweinfurthin A,KLHL4,0.019011121,-6.2088173e-10,sensitivity,sensitivity,-0.044212686903710254
Schweinfurthin A,CD248,0.018951027,1.7127771e-10,resistance,sensitivity,-0.021763813629264665
Schweinfurthin A,GALNT9,0.018615592,1.49868e-10,resistance,resistance,0.0275897117454982
Schweinfurthin A,FCER1G,0.018403448,-4.0678458e-10,sensitivity,resistance,0.023421196026631556
Schweinfurthin A,PI3,0.018093927,-8.1356916e-10,sensitivity,resistance,0.03175382245926536
Schweinfurthin A,SLCO2A1,0.017865157,-1.0704857e-10,sensitivity,resistance,0.03248939958967598
Schweinfurthin A,RTP4,0.017837238,2.24802e-10,resistance,sensitivity,-0.02750333575269124
Schweinfurthin A,KLK7,0.017564481,-3.8537487e-10,sensitivity,resistance,0.02166694344568362
Schweinfurthin A,WNK4,0.017418232,-1.49868e-09,sensitivity,resistance,0.03170926739046631
Venetoclax,MFAP5,0.013889366,3.4255543e-10,resistance,resistance,0.03161051052395963
Venetoclax,CYTH4,0.013393163,-4.4425158e-10,sensitivity,sensitivity,-0.029369078999542053
Venetoclax,SSC5D,0.012403536,1.049076e-09,resistance,sensitivity,-0.028030312336913166
Venetoclax,ZNF32,0.011964472,1.7127771e-10,resistance,sensitivity,-0.04756881771021459
Venetoclax,CALHM6,0.011961523,3.8537487e-10,resistance,resistance,0.03432381215829671
Venetoclax,ADAM28,0.011915781,-6.422914e-11,sensitivity,resistance,0.03822039494606681
Venetoclax,P2RY6,0.011878644,3.2114572e-10,resistance,sensitivity,-0.028845208267377735
Venetoclax,TMEM176A,0.011713709,-1.2845829e-09,sensitivity,resistance,0.021238659397222734
Venetoclax,CD33,0.011648541,1.9268744e-10,resistance,sensitivity,-0.0200082592069896
Venetoclax,TLR4,0.011615386,6.422914e-11,resistance,resistance,0.024639173100489613
Venetoclax,HGF,0.011604383,7.0652056e-10,resistance,resistance,0.01991024799426623
Venetoclax,BCL2L1,0.011222446,6.8511086e-10,resistance,resistance,0.042223114116372376
Venetoclax,TMEM176B,0.010694375,1.6378432e-09,resistance,resistance,0.02114980403091689
Venetoclax,ABCA1,0.010349682,8.563886e-11,resistance,resistance,0.030573579119274878
Venetoclax,LRRN1,0.010267171,1.0704857e-10,resistance,resistance,0.013675424063039485
Venetoclax,FES,0.010208615,-9.634372e-11,sensitivity,sensitivity,-0.01716649057237475
Venetoclax,ADGRE2,0.010196267,4.977759e-10,resistance,sensitivity,-0.023423467586020534
Venetoclax,PTX3,0.010117857,-2.1409714e-11,sensitivity,resistance,0.02136434168693856
Venetoclax,SUGCT,0.009973385,6.6370115e-10,resistance,resistance,0.025705308173990655
Venetoclax,NUDT11,0.009939921,-2.5691657e-10,sensitivity,resistance,0.021957760239533088
UNC0638,CYTL1,0.006710051,-1.3381071e-10,sensitivity,resistance,0.01856317957302501
UNC0638,GALNT9,0.006362576,-2.1409714e-10,sensitivity,resistance,0.017327811028187114
UNC0638,ESAM,0.0061898422,-9.0991284e-11,sensitivity,resistance,0.014226357349019616
UNC0638,CNIH3,0.006119139,1.87335e-10,resistance,resistance,0.03636141000534584
UNC0638,AQP1,0.0059618503,4.1748943e-10,resistance,sensitivity,-0.01557041931273618
UNC0638,EBF4,0.0057379664,-2.9438357e-10,sensitivity,resistance,0.02330115079624991
UNC0638,RPL22L1,0.005580173,1.6057286e-11,resistance,sensitivity,-0.02371412577281632
UNC0638,TMEM176B,0.0054842136,-7.4934e-11,sensitivity,resistance,0.014345812396931681
UNC0638,SHISA3,0.0052183196,-3.298434e-10,sensitivity,resistance,0.01667225661539044
UNC0638,SULF1,0.0051728473,-7.546924e-10,sensitivity,resistance,0.013628632026242628
UNC0638,MSRA,0.0051594777,1.8198257e-10,resistance,resistance,0.02012114177684799
UNC0638,SMN2,0.0051381295,1.2845829e-10,resistance,resistance,0.028547849150587196
UNC0638,COL14A1,0.005024876,-6.958157e-11,sensitivity,resistance,0.01564518561475401
UNC0638,SSC5D,0.0049567996,-3.4255543e-10,sensitivity,sensitivity,-0.016019680936010503
UNC0638,CAVIN2,0.004946065,-3.1060812e-10,sensitivity,resistance,0.013209872598596614
UNC0638,GPC3,0.004903129,5.1383314e-10,resistance,resistance,0.016684797183198038
UNC0638,TSPAN11,0.004821436,3.4523165e-10,resistance,sensitivity,
UNC0638,BCL2L1,0.0048201196,-1.4317747e-10,sensitivity,resistance,0.024604807858398164
UNC0638,ARHGAP28,0.004804325,-1.6057286e-10,sensitivity,sensitivity,-0.016113969356315785
UNC0638,ADAMTS9,0.0047813295,-1.87335e-11,sensitivity,resistance,0.015871728655290865
Nutlin-3a (-),RPL22L1,0.055295743,1.49868e-09,resistance,sensitivity,-0.07028440115552714
Nutlin-3a (-),ZMAT3,0.03911534,7.7074974e-10,resistance,sensitivity,-0.05568414541083146
Nutlin-3a (-),RPS27L,0.03869785,-1.4398033e-09,sensitivity,sensitivity,-0.05683489774831673
Nutlin-3a (-),MDM2,0.03627108,-1.3702217e-09,sensitivity,sensitivity,-0.06515373077448432
Nutlin-3a (-),ACTA2,0.03596672,3.0187697e-09,resistance,sensitivity,-0.0397342882429197
Nutlin-3a (-),EDA2R,0.03531577,-5.5665256e-10,sensitivity,sensitivity,-0.05046245890989962
Nutlin-3a (-),CDKN2A,0.033203445,3.0615892e-09,resistance,resistance,0.04671204621946218
Nutlin-3a (-),PHLDA3,0.033152875,5.1383314e-10,resistance,sensitivity,-0.0450703504645875
Nutlin-3a (-),CDKN1A,0.029303962,3.3399155e-09,resistance,sensitivity,-0.06226408522441339
Nutlin-3a (-),FMOD,0.026687147,-3.211457e-09,sensitivity,resistance,0.03021694109603091
Nutlin-3a (-),PXMP4,0.026564669,3.8537487e-10,resistance,resistance,0.04385080486396098
Nutlin-3a (-),HRCT1,0.024988575,5.5665256e-10,resistance,resistance,0.03585489329674912
Nutlin-3a (-),CTSE,0.024271373,-4.2819429e-10,sensitivity,sensitivity,-0.02604083207815962
Nutlin-3a (-),TMEM176B,0.023536293,5.7806226e-10,resistance,resistance,0.0276692063934598
Nutlin-3a (-),FCER1G,0.023407405,1.573614e-09,resistance,resistance,0.02535631827418509
Nutlin-3a (-),FDXR,0.022803128,-1.0009041e-09,sensitivity,sensitivity,-0.04461928501654071
Nutlin-3a (-),TMEM176A,0.021755906,1.2845829e-09,resistance,resistance,0.0252845787456039
Nutlin-3a (-),FOXF2,0.02129185,-1.2845829e-09,sensitivity,resistance,0.033914705291426026
Nutlin-3a (-),ESAM,0.020941287,-2.5156413e-10,sensitivity,resistance,0.028542355504617176
Nutlin-3a (-),CPS1,0.020787181,-8.563886e-11,sensitivity,sensitivity,-0.03343024926717786
